t_id,author_uid,favourited_by_uid,interaction_type
947469367272341505,905092835279593472,753657336678354944,5
947469600764993536,2776160768,3213121774,5
947469730608062465,2951994542,468051780,5
947469876943142914,25298569,153271366,5
947469876943142914,25298569,208905805,5
947469876943142914,25298569,383914399,5
947469976142614529,27394241,805728994620424192,5
947470054345662464,3882186329,813327952272183296,5
947470231189913600,21177395,722828981423058945,5
947470266740957184,273376311,1105669592,5
947470356675268608,313299656,565183238,5
947470813501972480,1388148914,2595865716,5
947471264976736257,50179859,230016871,5
947471384711643137,454696257,915783024,5
947471647224635394,20043786,2338798188,5
947471787645743104,1377426541,3163623721,5
947472154546733057,148945945,327060467,5
947472178903097344,336082762,1105669592,5
947472690125815810,894189384,3163623721,5
947472785923768320,27075032,765102806,5
947473122894086144,2776160768,3213121774,5
947473286144802817,2478069354,944519143,5
947473723468034049,731711664257650692,4788444973,5
947473842103992320,2776160768,3213121774,5
947474215128596480,29412034,2595865716,5
947474382171131905,391995571,31285227,5
947474547145666560,2314464974,915783024,5
947474788989177856,555299478,2595865716,5
947474938130321408,245548093,602320287,5
947475377139548160,2776160768,3213121774,5
947475591527198720,939814397781753856,3213121774,5
947475710435905537,2455930728,2306497458,5
947476906332495872,1264325563,1626566622,5
947477256707936256,514821807,805728994620424192,5
947477274231631877,2285540658,65554130,5
947477355022508032,1891806212,753657336678354944,5
947477436932947968,715589685561704448,2872114958,5
947477480851496961,87658200,327060467,5
947477677681688577,913973792153550848,631163382,5
947477711940964352,474991557,3246614169,5
947477769763606528,4040207472,915783024,5
947477893487190017,704686104050532352,753657336678354944,5
947478329380212736,882987644,790469423362560000,5
947479368023949313,63701775,297407536,5
947479408868077568,1515079200,631163382,5
947479459279470593,40120521,924414421,5
