t_id,timestamp_ms,uid,nuid,is_reply,is_retweet,is_quote,replied_uid,replied_t_id,retweeted_uid,retweeted_t_id,quoted_uid,quoted_t_id
946860190955028481,1514584035992,1744765753,977,0,1,0,,,525006087,946656627280584704,,
946860345825443840,1514584072916,300133329,2733,0,0,1,,,,,1374159391,946627897594281984
946860588512055296,1514584130777,827431800070828034,6043,1,0,0,2615725926,946823568133971969,,,,
946860634716618753,1514584141793,300133329,2733,1,0,0,43797149,946684431279910918,,,,
946860754254176257,1514584170293,99790153,6568,0,1,0,,,4876099299,946697305079545856,,
946860968532832256,1514584221381,2595865716,2092,1,0,0,1018660693,946740363531661312,,,,
946861639248199680,1514584381292,2595865716,2092,0,0,0,,,,,,
946861877539217408,1514584438105,72003902,5262,0,0,0,,,,,,
946862073614499840,1514584484853,827431800070828034,6043,1,0,0,2711602693,946855495352008704,,,,
946862406357020672,1514584564185,342724620,3327,1,0,0,52653737,946687236841472000,,,,
946862434458808320,1514584570885,100389771,9,1,0,0,456513246,946715778329411585,,,,
946862435591340032,1514584571155,545768068,4672,0,0,0,,,,,,
946862716609691648,1514584638155,342724620,3327,1,0,0,879841819,946802714889064449,,,,
946863193711710208,1514584751905,284960423,2493,0,1,0,,,338007458,946630068633198592,,
946863423257587712,1514584806633,159393907,777,0,0,0,,,,,,
946863453083283456,1514584813744,245421969,1886,0,0,0,,,,,,
946863710970056705,1514584875229,284960423,2493,0,1,0,,,2994714302,946360419744022528,,
946863838741151744,1514584905692,827431800070828034,6043,1,0,0,2358882852,946811214293753856,,,,
946864079657771008,1514584963131,827431800070828034,6043,0,1,0,,,2615725926,946801746323693570,,
946864441374654464,1514585049371,827431800070828034,6043,0,1,0,,,2615725926,946794426394914818,,
946864505090277376,1514585064562,153271366,691,0,1,1,,,846137120209190912,946823361484685312,4196983835,946822118871724032
946864800553844736,1514585135006,2595865716,2092,0,0,0,,,,,,
946865399378821120,1514585277777,2595865716,2092,0,0,0,,,,,,
946865481947922434,1514585297463,2595865716,2092,0,0,0,,,,,,
946865526915047424,1514585308184,2595865716,2092,0,0,0,,,,,,
946865586205626368,1514585322320,2595865716,2092,0,0,0,,,,,,
946865638789672960,1514585334857,827431800070828034,6043,1,0,0,2711602693,946862339260739584,,,,
946865704896045056,1514585350618,2595865716,2092,0,0,0,,,,,,
946865799221755904,1514585373107,2595865716,2092,0,0,0,,,,,,
946865817903181824,1514585377561,631163382,5066,0,1,0,,,1554762541,946843915071537152,,
946866089404678144,1514585442292,827431800070828034,6043,1,0,0,149770065,946707528041107457,,,,
946866237992091648,1514585477718,160457764,791,0,0,0,,,,,,
946866803287793664,1514585612495,827431800070828034,6043,1,0,0,4685320040,946847726334984193,,,,
946866856698175488,1514585625229,2595865716,2092,0,0,0,,,,,,
946866930702360576,1514585642873,2595865716,2092,0,0,0,,,,,,
946867230167392257,1514585714271,2595865716,2092,0,0,0,,,,,,
946867251386335232,1514585719330,160457764,791,0,0,0,,,,,,
946867302556827648,1514585731530,488285969,4397,1,0,0,237612784,946843553270980608,,,,
946867470505308160,1514585771572,476355515,4298,0,0,0,,,,,,
946867516218814464,1514585782471,488285969,4397,0,1,0,,,25014406,946867092606849024,,
946867653351575553,1514585815166,488285969,4397,0,1,1,,,44334649,946603321581694977,9609372,946495444087201793
946867688642527232,1514585823580,2595865716,2092,0,0,0,,,,,,
946867870918516736,1514585867038,2595865716,2092,1,0,0,2595865716,946867230167392257,,,,
