v,u,t_id_v,t_id_u,interaction_type,t_time_v,t_time_u
1098,904,927651893580521472,927651468538126341,1,1510004421025,7/11/2017 08:38:39
855,918,927645477125865472,927645087806382080,1,1510002891223,7/11/2017 08:13:18
353,918,927645660953767936,927645087806382080,1,1510002935051,7/11/2017 08:13:18
856,918,927648905126227968,927645087806382080,1,1510003708522,7/11/2017 08:13:18
921,920,927647099499540480,927610382855868416,1,1510003278027,7/11/2017 05:55:24
1065,947,927644665150672896,927642805190774785,1,1510002697633,7/11/2017 08:04:14
320,972,927646005687971840,927645132626808832,1,1510003017242,7/11/2017 08:13:29
442,986,927649927890534406,927631081284648961,1,1510003952368,7/11/2017 07:17:38
1094,989,927651325055135744,927613947095609345,1,1510004285478,7/11/2017 06:09:33
690,989,927651594597830656,927613947095609345,1,1510004349742,7/11/2017 06:09:33
374,989,927652189316710405,927613947095609345,1,1510004491534,7/11/2017 06:09:33
1100,989,927652242794020865,927613947095609345,1,1510004504284,7/11/2017 06:09:33
382,989,927652558566432773,927613947095609345,1,1510004579570,7/11/2017 06:09:33
214,989,927652618255581184,927613947095609345,1,1510004593801,7/11/2017 06:09:33
1080,994,927649134609231872,927642942985998336,1,1510003763235,7/11/2017 08:04:47
354,994,927649851629740032,927642942985998336,1,1510003934186,7/11/2017 08:04:47
908,1004,927647281473392640,927624019766996994,1,1510003321413,7/11/2017 06:49:35
1080,1004,927647288779972609,927624019766996994,1,1510003323155,7/11/2017 06:49:35
691,1004,927650660509564928,927624019766996994,1,1510004127038,7/11/2017 06:49:35
1093,1004,927650791313121280,927624019766996994,1,1510004158224,7/11/2017 06:49:35
1062,1046,927644418542202880,927641120430886912,1,1510002638837,7/11/2017 07:57:32
890,1046,927645203887828992,927641120430886912,1,1510002826078,7/11/2017 07:57:32
855,1046,927645393944395777,927643011521036288,1,1510002871391,7/11/2017 08:05:03
354,1046,927650294774751232,927641120430886912,1,1510004039840,7/11/2017 07:57:32
915,1085,927652331121864704,927649544799625217,1,1510004525343,7/11/2017 08:31:01
211,16,927657430590169088,927656700554776576,1,1510005741151,7/11/2017 08:59:27
1035,21,927653180279631873,927501773090177025,1,1510004727798,6/11/2017 22:43:49
354,21,927653511428317184,927501773090177025,1,1510004806750,6/11/2017 22:43:49
1108,21,927655701505228800,927501773090177025,1,1510005328905,6/11/2017 22:43:49
1117,21,927656532543598592,927501773090177025,1,1510005527040,6/11/2017 22:43:49
1100,21,927656750664228864,927501773090177025,1,1510005579044,6/11/2017 22:43:49
174,21,927656839159746561,927501773090177025,1,1510005600143,6/11/2017 22:43:49
82,60,927658026437365760,927651771618652161,1,1510005883212,7/11/2017 08:39:51
1127,68,927657727739838464,927413507447930880,1,1510005811997,6/11/2017 16:53:05
81,76,927655061752184832,927653096876118016,1,1510005176376,7/11/2017 08:45:07
81,76,927658235678433285,927657152868749312,1,1510005933099,7/11/2017 09:01:14
83,77,927656662688600065,927654830218399745,1,1510005558069,7/11/2017 08:52:01
576,112,927654661275791360,927653358613098496,1,1510005080895,7/11/2017 08:46:10
1126,113,927657614539759616,927646927981658113,1,1510005785008,7/11/2017 08:20:37
440,137,927654601712472066,927654130356666370,1,1510005066694,7/11/2017 08:49:14
280,154,927654884605755392,927634350383890432,1,1510005134141,7/11/2017 07:30:38
280,154,927654947482583040,927469739026276352,1,1510005149132,6/11/2017 20:36:31
280,154,927655110569627648,927637914351108096,1,1510005188015,7/11/2017 07:44:48
280,154,927655161345884161,927635015101321216,1,1510005200121,7/11/2017 07:33:16
280,154,927655172611772416,927634694765666304,1,1510005202807,7/11/2017 07:32:00
280,154,927655189229707264,927634350383890432,1,1510005206769,7/11/2017 07:30:38
579,154,927655420109365248,927375188546617345,1,1510005261815,6/11/2017 14:20:49
617,166,927653256448241664,927642023460356096,1,1510004745958,7/11/2017 08:01:07
617,166,927654307498901504,927650694877757440,1,1510004996548,7/11/2017 08:35:35
661,166,927657146098970624,927650694877757440,1,1510005673323,7/11/2017 08:35:35
370,177,927652926805250050,927644090665091072,1,1510004667365,7/11/2017 08:09:20
137,179,927657536223821825,927657434730000384,1,1510005766336,7/11/2017 09:02:22
143,179,927657795729571841,927657434730000384,1,1510005828207,7/11/2017 09:02:22
473,226,927655713177968640,927435175524306944,1,1510005331688,6/11/2017 18:19:11
265,226,927656859200233473,927649348900364289,1,1510005604921,7/11/2017 08:30:14
